Money_Market_Fund,13/05/2024,11/6/2024,9/7/2024
Madison,14.49,14.39,14.27
Lofty_Corban,16.94,16.93,16.89
Nabo,15.24,15.23,15.2
Old Mutual,12.67,12.72,12.81
Dry Associates,13.17,13.22,13.23
Amana,15.1,13.76,
Orient Kasha,12.57,13.17,13.76
GenCap,14.44,14.47,14.79
Apollo,15.93,15.53,15.89
Sanlam,14.04,,14.04
Jubilee,14.49,14.54,14.58
Equity,11.94,11.17,13.16
Kuza,14.91,16.02,15.79
Africa Alliance Enhanced,12.73,12.88,12.79
Africa Alliance  ,13.78,14.22,14.18
Cytonn,15.77,16.22,16.83
ICEA,11.5,11.6,11.67
CIC,12.5,12.46,12.73
Mayfair,13.88,14.33,14.33
Britam,9.59,9.28,12.69
Faulu,,,15.26
Etica,,16.44,16.91
